query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
групповые занятия пилатес,pilates_fitness,commercial,,,10,2,пилатес и фитнес-студии,групповой пилатес,страница должна явно отвечать на потребность: групповой пилатес; нужна коммерческая посадочная внутри темы: пилатес и фитнес-студии,"мусор: страница не раскрывает групповой пилатес, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: медицинская клиника без пилатеса; винный магазин; промышленное оборудование; спортивный магазин без занятий; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
абонемент на пилатес,pilates_fitness,commercial,,,10,2,пилатес и фитнес-студии,абонемент на пилатес,страница должна явно отвечать на потребность: абонемент на пилатес; нужна коммерческая посадочная внутри темы: пилатес и фитнес-студии,"мусор: страница не раскрывает абонемент на пилатес, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: медицинская клиника без пилатеса; винный магазин; промышленное оборудование; спортивный магазин без занятий; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
студия пилатеса отзывы,pilates_fitness,comparison,,,10,2,пилатес и фитнес-студии,отзывы о студии пилатеса,страница должна явно отвечать на потребность: отзывы о студии пилатеса; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; важны признаки реального исполнителя: реквизиты команда лицензии кейсы адрес или портфолио; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о студии пилатеса, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: медицинская клиника без пилатеса; винный магазин; промышленное оборудование; спортивный магазин без занятий; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
чем отличается пилатес от йоги,pilates_fitness,informational,,,10,2,пилатес и фитнес-студии,сравнение пилатеса и йоги,страница должна явно отвечать на потребность: сравнение пилатеса и йоги; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает сравнение пилатеса и йоги, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: медицинская клиника без пилатеса; винный магазин; промышленное оборудование; спортивный магазин без занятий; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
сдать анализы москва,medical_tests,commercial,Москва,213,10,2,медицинские анализы и лабораторная диагностика,сдача анализов в Москве,страница должна явно отвечать на потребность: сдача анализов в Москве; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает сдача анализов в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
общий анализ крови цена,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,общий анализ крови,страница должна явно отвечать на потребность: общий анализ крови; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает общий анализ крови, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
анализ крови на гормоны,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,анализы на гормоны,страница должна явно отвечать на потребность: анализы на гормоны; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика,"мусор: страница не раскрывает анализы на гормоны, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
пцр тест цена,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,ПЦР тест,страница должна явно отвечать на потребность: ПЦР тест; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает ПЦР тест, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
биохимический анализ крови,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,биохимия крови,страница должна явно отвечать на потребность: биохимия крови; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика,"мусор: страница не раскрывает биохимия крови, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
анализ на витамин д,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,анализ витамина D,страница должна явно отвечать на потребность: анализ витамина D; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика,"мусор: страница не раскрывает анализ витамина D, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
сдать анализы на дому,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,выезд для сдачи анализов,страница должна явно отвечать на потребность: выезд для сдачи анализов; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика; важна логистика: зона обслуживания выезд доставка карта или способы получения услуги,"мусор: страница не раскрывает выезд для сдачи анализов, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: нет зоны обслуживания доставки выезда адреса или локального подтверждения"
анализы перед операцией,medical_tests,commercial,,,10,2,медицинские анализы и лабораторная диагностика,предоперационные анализы,страница должна явно отвечать на потребность: предоперационные анализы; нужна коммерческая посадочная внутри темы: медицинские анализы и лабораторная диагностика,"мусор: страница не раскрывает предоперационные анализы, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
лаборатория анализов отзывы,medical_tests,comparison,,,10,2,медицинские анализы и лабораторная диагностика,отзывы о лаборатории,страница должна явно отвечать на потребность: отзывы о лаборатории; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; важны признаки реального исполнителя: реквизиты команда лицензии кейсы адрес или портфолио; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о лаборатории, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как подготовиться к анализу крови,medical_tests,informational,,,10,2,медицинские анализы и лабораторная диагностика,подготовка к анализам,страница должна явно отвечать на потребность: подготовка к анализам; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает подготовка к анализам, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: ветеринарная лаборатория; статья без сдачи анализа; аптека; клиника без лабораторных услуг; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
мебель на заказ москва,custom_furniture,commercial,Москва,213,10,2,мебель на заказ,мебель на заказ в Москве,страница должна явно отвечать на потребность: мебель на заказ в Москве; нужна коммерческая посадочная внутри темы: мебель на заказ; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает мебель на заказ в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
шкаф купе на заказ цена,custom_furniture,commercial,,,10,2,мебель на заказ,шкаф-купе на заказ,страница должна явно отвечать на потребность: шкаф-купе на заказ; нужна коммерческая посадочная внутри темы: мебель на заказ; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает шкаф-купе на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
кухня на заказ цена,custom_furniture,commercial,,,10,2,мебель на заказ,кухня на заказ,страница должна явно отвечать на потребность: кухня на заказ; нужна коммерческая посадочная внутри темы: мебель на заказ; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает кухня на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
гардеробная на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,гардеробная на заказ,страница должна явно отвечать на потребность: гардеробная на заказ; нужна коммерческая посадочная внутри темы: мебель на заказ,"мусор: страница не раскрывает гардеробная на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
детская мебель на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,детская мебель на заказ,страница должна явно отвечать на потребность: детская мебель на заказ; нужна коммерческая посадочная внутри темы: мебель на заказ,"мусор: страница не раскрывает детская мебель на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
мебель для ванной на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,мебель для ванной,страница должна явно отвечать на потребность: мебель для ванной; нужна коммерческая посадочная внутри темы: мебель на заказ,"мусор: страница не раскрывает мебель для ванной, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
встроенный шкаф на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,встроенный шкаф,страница должна явно отвечать на потребность: встроенный шкаф; нужна коммерческая посадочная внутри темы: мебель на заказ,"мусор: страница не раскрывает встроенный шкаф, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
корпусная мебель на заказ,custom_furniture,commercial,,,10,2,мебель на заказ,корпусная мебель,страница должна явно отвечать на потребность: корпусная мебель; нужна коммерческая посадочная внутри темы: мебель на заказ,"мусор: страница не раскрывает корпусная мебель, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
мебель на заказ отзывы,custom_furniture,comparison,,,10,2,мебель на заказ,отзывы о мебели на заказ,страница должна явно отвечать на потребность: отзывы о мебели на заказ; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о мебели на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как выбрать мебель на заказ,custom_furniture,informational,,,10,2,мебель на заказ,выбор мебели на заказ,страница должна явно отвечать на потребность: выбор мебели на заказ; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор мебели на заказ, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: готовая мебель маркетплейса; ремонт мебели; пиломатериалы; дизайн интерьера без изготовления; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
купить кондиционер с установкой,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,покупка кондиционера с установкой,страница должна явно отвечать на потребность: покупка кондиционера с установкой; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника; нужна возможность покупки заказа заявки консультации или подбора конкретного предложения,"мусор: страница не раскрывает покупка кондиционера с установкой, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: обзор или блог без возможности купить заказать или отправить заявку"
установка кондиционера цена,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,цена установки кондиционера,страница должна явно отвечать на потребность: цена установки кондиционера; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника; обязательны цена диапазон тариф калькулятор или понятная логика расчета; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает цена установки кондиционера, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
сплит система в квартиру,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,сплит-система для квартиры,страница должна явно отвечать на потребность: сплит-система для квартиры; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника,"мусор: страница не раскрывает сплит-система для квартиры, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
кондиционеры москва,air_conditioners,commercial,Москва,213,10,2,кондиционеры и климатическая техника,кондиционеры в Москве,страница должна явно отвечать на потребность: кондиционеры в Москве; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает кондиционеры в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
обслуживание кондиционеров,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,сервис кондиционеров,страница должна явно отвечать на потребность: сервис кондиционеров; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает сервис кондиционеров, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
заправка кондиционера фреоном,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,заправка кондиционера,страница должна явно отвечать на потребность: заправка кондиционера; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает заправка кондиционера, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
демонтаж кондиционера,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,демонтаж кондиционера,страница должна явно отвечать на потребность: демонтаж кондиционера; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника; должна быть описана конкретная услуга процесс сроки гарантия и условия выезда,"мусор: страница не раскрывает демонтаж кондиционера, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: каталог товаров без подтверждения выполнения нужной услуги"
кондиционер для офиса,air_conditioners,commercial,,,10,2,кондиционеры и климатическая техника,кондиционер для офиса,страница должна явно отвечать на потребность: кондиционер для офиса; нужна коммерческая посадочная внутри темы: кондиционеры и климатическая техника,"мусор: страница не раскрывает кондиционер для офиса, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
кондиционеры отзывы,air_conditioners,comparison,,,10,2,кондиционеры и климатическая техника,отзывы о кондиционерах,страница должна явно отвечать на потребность: отзывы о кондиционерах; нужны реальные отзывы рейтинг сравнение кейсы или понятные критерии выбора; нужны отзывы рейтинги сравнение вариантов или доказательства опыта,"мусор: страница не раскрывает отзывы о кондиционерах, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: продающая страница без отзывов рейтинга сравнения или социального доказательства; hard-negative: нет отзывов рейтинга сравнения или кейсов, только обычное описание услуги"
как выбрать кондиционер,air_conditioners,informational,,,10,2,кондиционеры и климатическая техника,выбор кондиционера,страница должна явно отвечать на потребность: выбор кондиционера; нужен полезный разбор темы с конкретными критериями примерами и ответом на вопрос; страница должна помогать принять решение а не просто продавать услугу,"мусор: страница не раскрывает выбор кондиционера, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: кондиционер для волос; прогноз погоды; автомобильный кондиционер; вентиляция без кондиционеров; слабая релевантность: каталог или рекламная страница без ответа на вопрос пользователя; hard-negative: страница не объясняет критерии выбора причины отличия подготовку или этапы"
уборка квартир москва,cleaning,commercial,Москва,213,10,2,клининг и уборка помещений,уборка квартир в Москве,страница должна явно отвечать на потребность: уборка квартир в Москве; нужна коммерческая посадочная внутри темы: клининг и уборка помещений; должна быть привязка к городу Москва: адрес зона работы доставка или филиал,"мусор: страница не раскрывает уборка квартир в Москве, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений; слабая релевантность: страница про другой город или без подтверждения работы в Москва; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя"
генеральная уборка квартиры цена,cleaning,commercial,,,10,2,клининг и уборка помещений,генеральная уборка квартиры,страница должна явно отвечать на потребность: генеральная уборка квартиры; нужна коммерческая посадочная внутри темы: клининг и уборка помещений; обязательны цена диапазон тариф калькулятор или понятная логика расчета,"мусор: страница не раскрывает генеральная уборка квартиры, даже если у нее хороший title текст или коммерческие блоки; hard-negative из другой тематики: магазин бытовой химии; вакансии уборщицы; робот-пылесос; химчистка одежды без уборки помещений; слабая релевантность: информационная статья без товара услуги цены заявки или контакта исполнителя; hard-negative: страница обещает услугу но не дает цены диапазона тарифа или способа расчета"
